account	userType	voiBalance	viaBalance
HPLHCJNXJCTIOYABZ2LQA4D2WIJXRNVPLS3FYR5LTAUYZ4MHY2QHYWFPGE	snapshot	18220677434	12812108612523
C6PYXGNB6RNVQF2Z3Q4POROBXLUVDQMZPJKN2XITCDN4VX4XQI4FC6W5UQ	snapshot	1083520447	12375824482163
LK6TZ5DYK2AFWDEWED5GYAPNYDIIWHQ7S6YYYLWVTHB2CQAVSDGDVFHI74	snapshot	318752996000	11830538750000
TCDHQEW67BJLPOJ7YXVOCPMQZRUCCIEKJ4SNXSGKZKV77WW5BVFS6OHPHY	snapshot	6001911282	10974839139081
DTHIRTEENUHXDHS7IZZBUPHXYWNT5TSSAAUX6NKTLJBR5ABOPTHNEA4DCU	snapshot	3617242336012	7303673024906
FJ5VLTO3SM4UU6ZGQSNH2Y2KET5HCV6EYAFVCOMJSH7JUOYN4C65XKADFY	snapshot	195162396180	10416396696985
JCID5RLZYBD4HNHJCDU7NZJ2U3FNXYG4THM45UAYHGBR5UNBQIMXMA6FHY	snapshot	5936549624	9800752977986
PROYPPSWKWBGTQNS4NYWXDJZAVE5LUU7YGICQABJ7VTC374ENASGTZLVOI	snapshot	2000000	9534476987396
WOOFOXGK2YSX3K3JPUXL77IMVK7U55VYI3PYN6HO35PRKZIU4VBHULKTF4	snapshot	487495367250	8343903686920
GOJFYNMTLD65D3T42MY7DK6D3HFUTNV5LNAKEYIHZRG5JMCQYDVLEGH5QI	snapshot	1721338504981	6875001000000
ZZ3Y2E2OYGJUXG63UZC7PTAIM5AG24SKCNK4H25EEQMB5PMXF5GZW24PIE	snapshot	3995000	8496962487989
36KUCPDRZGAWMIE45SP65Q5OKJQ246RHTE6ZLI32MM5VZPVQMMZKEKWWGE	snapshot	3165437471	8407118277979
QDTNSOACJPBVM3MXDI3BGNXGNNUG5KZUWXZWGCRU27ESBJNFG6VUKSTWDM	snapshot	1240677613715	7129596151556
FFX2QWUU7B4XNLFKV7UHRNMTYF43D2BGTZUBOV5MSISSYS6ENWBSWJ5A24	snapshot	8184446181484	170209385314
DJASBA6SCNC5HT463XRDONJ7W44HM4KXK7UB3TOF7ISZONSHG4YVTGTQWE	snapshot	7527649946697	644589090262
HJKZF4CUQRFQUUHR2O3YFBYKCCQIDU6A3JGBNKMAPWQ65LI2HUSYKC7EBM	snapshot	3238645766586	4419779567835
REDCGG6PQQWPOM42ZHM4L2CS5GQXMM4WXU7PNMWZGIRNBL6K5B2A4BGOJA	snapshot	11032672621	7514194202811
S36TDSPYIBSVXKEZ34N7E2POZU6P53LAWRTUPD6O7DKKG7YODYZK7N7BRU	snapshot	14623442	7524999828375
63VHG2ME45CQC6GSX3GQ2RGWJWYR4FOBPBHNIOS5TYNNTTXCHK2XRJ2DY4	snapshot	7409291810146	0
ALPHLNE73I5MVERRF3HCKCKQO6Z6J3E62T4A3NE54QYPDWBI7HNUAN4WPQ	snapshot	2830184469441	4530389884842
B573LVAJXPSNQDGIJKNAUMA4PM6UEZRIB7JWACGGPRK6WIGUFKGI27WY7M	snapshot	7324034108757	0
KY365AMFQGU2XR7RMMLUIQLAHJVR6DCQDDITHH37I7V6GFV727NZAZCGY4	snapshot	1244240618461	6047330879233
KQSGM2T2RO45NABKO6J7OZJXP2KWOENILIODDSIHZGI7AWMY6N4OHL7BCU	snapshot	6840237387753	5532444117
VINY6VJDHYYSKTRE54XHOUMS5ISV6A5XHOV3HMMLBNJNHNLIMYFRMLLXOI	snapshot	6648270174244	45000000000
COOU4FUQAC637C6YCWBYOMSPJXCK25UI6PD3RQNHAIQEKOFTQBIFPZ4TVY	snapshot	6234765342951	5181
SWXIOYOQR5DSIQ2Z4E7V3LEKOUXLNBEBOYGZOZQ7NBGBBIPOA5DAFEH5IA	snapshot	660996568	6194919897497
Y7DRTRH5DHWH7WCIXHOSMKEYPZARJO6TNBDJUQ4FCZJS5UIWDSYHMHNWVM	snapshot	355100973261	5792717528879
WOFJSEQCSH6D2GGTU7AM73TAZHDUUQHA4DF3BMBXEVXOTCUPI3XC4N6UL4	snapshot	3203218967382	2874193251376
2CH2CDHDF5FQIANUD2EJBESAZIHT3P5B75RR7VWTJ7ZQAOTZMXYQ4ZKBSE	snapshot	1000000	6075000000000
NL3NIBJBATMITPDMKNRILMGRQ3IM4BGX5ZGJSUXWFDLJQE73S2D4H36QKE	snapshot	4108586356246	1928410111526
C46D7INVWU4U2CPOE5NVZT6ZB5NWOLU57U6BDTRFGEDWRKHTT7SPG3JTCA	snapshot	1239323732511	4730420826340
2INYVOID3FORK5JXWYRVTKWJLSSS6WOSOKYN64JHG6AQCNESPFN4MP7J3Q	snapshot	692906392661	5110248707022
N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM	snapshot	1744960304590	3965239980276
HS2R2C75DXNNZ4OKUDT7XUEEKWNJ45OHFFSQYPREAHOQKNT2A7DWS4NB7Y	snapshot	999000	5675000000000
D4KIPDCWSP32ADRDRLTKLQAIU5FXPPUHHWBHM6YAPZQWEAYH5F2MSS5MPE	snapshot	644587314347	5000000000000
FQBOAHRBYSCNQRYYDY2CJXM4YJ65J2M4PQME7C7ZMY24SVNU2XFPQSKZY4	snapshot	5624033928198	14205100092
5GQQRWZ2QSJNBHY76F2SMEDXFUGI2ZXDTHC6ULO5OYO7CRD27IYVC253DI	snapshot	5555745119000	0
TRE3TQ6L7LV5PSSO42AK2BUSQA7XLG4TUXQR7TUNFK5DNGN733LXTT4JMM	snapshot	7298759021	5469930871261
TBKH6I4TIKO6OV35BBFB74SGPUGGPZ7QINKPNLSVG24OR5IUKHDIXHFDGM	snapshot	2783254604628	2478725452561
54I65DE4SBMBBQB7W54INEAQ6E6ZB2K7NVGCCS3C7J4I7CPB52HRGBR5DM	snapshot	4979641738779	0
WAUEKBMVVAZPRPJCAG7XFBVQY3UDMMY2IBWR2G3YUV2FXSMGEGYWDFRCBI	snapshot	3047659944232	1481341604710
HZ7PNMOQBLEMAQPLGXHFBQWHOAC4CTEKKKBZE7R573WQCUTR6RYVOVHLHE	snapshot	43026300	4376927292178
4WVIBPQEXHSIKDWCEPVO5PQFEFWY3NTN25RW7ATBRXSRJDGSQYO4KMR2HM	snapshot	3585522892962	600000000000
TMEF56RIH3LGCRSNWCIFABD6WJHVN5TYLGXA2ZWQY7LEIXXXZBSKF6G6OQ	snapshot	858671070850	3226321660038
EWFMNXU5PHBWKG7RBEUA76CXRSJSL75JABWGBAMZREPYRMW53SCAPL3DW4	snapshot	3634809337302	401382083318
ORADHH6KFY7A6JUTVVH4SHVUY7MXDWPTROSXHMWVJMWUFS6IKO5KASYOYE	snapshot	3953901317092	50000000000
O77LJOKLFVZBNMJ23KWITXM6BC2HYYW74HNAIO6KGJZ6CEHNFFPVCYVFJE	snapshot	3979455088373	6526960000
XK2MA64GERBIWYAF5LEQN3DXKKKEAFPJSJYUU72EXQB52ALUPGGDY45OZI	snapshot	3948484894093	0
JMYMPNO75KC7NER3NQ4YUIA64RM4P3UWFUG3QWXDZM7LY25IVTZ7U4KESQ	snapshot	3939420151783	0
LVU2XS3RAKIC5T6LGPRGKQFS67SKMFG47D2OONXC2W67MMNX7M67TQDJPU	snapshot	3922288225944	12494556815
3WQOUP67VJY6JRZ4X66WS6NZ53XS7U5A5NTQMNRGM7B4XTWHICLEZTWYSU	snapshot	3928179436282	0
XQDW6KXZAMOQYXGZL6ENJPANLQZQZ4RLHDWGGXX3P4ALXJGD2J7TCDFA4Y	snapshot	3927902984296	0
MGSRAMKZYVQ7A5K4Q5L34FYAT5GV7C44Q4AQ6M3LE625YOGORV4Y77JEP4	snapshot	3923172207922	0
DNNRKF6EXIGIAA45LSXOU2IJXHLC4IXF6EP5AXBTE3VAZBWDS2PFQQMCSU	snapshot	3919961953515	0
RAYXZ54BJIFVLCARBGOJ64ZRM3NJ3GOYVSZHRMYAZXNM6F2L4VS6R573EE	snapshot	3890056808551	11684444118
ESZW5SHXRYK4AZFX45EBE6T5SGDIS5HVZAHURS4ZGQUVJYR77IAWFJ63EM	snapshot	3898610031022	1000000000
DRQSIY4BYECUSRVGNGWQA7CKM2V632ZIQA263DMTWUYL62B5ENBUOCCQ7E	snapshot	3887412173929	5000000000
I5TNYQUKY3I3O2GZPVWJ3VPUQ2EX3JOMQXXYWW5JFIEPISWKWLM5CVQQLY	snapshot	3839605293912	51826921264
